name1,image1,name2,image2,arcface,magface,adaface,arcface_gfpgan,magface_gfpgan,adaface_gfpgan,arcface_gpen,magface_gpen,adaface_gpen,arcface_sgpn,magface_sgpn,adaface_sgpn
Marcelo_Ebrard,3,Marcelo_Ebrard,1,0.4132370134479845,0.4223495802433835,0.5140538347711783,0.5382568273515937,0.5440493156718085,0.4414311148493951,0.4256671160701634,0.4451143706531406,0.4119431763561813,0.3249285824364348,0.3489254867665699,0.3299542974304389
Carlos_Ruiz,2,Carlos_Ruiz,1,0.2341448120636537,0.149089239994741,0.0999819009668088,0.4263428502980892,0.3017110791511089,0.2420469502723274,0.1072353320749248,-0.0134466700606741,0.0569981733441617,0.1085284164711699,-0.0241129435899736,0.0782878429524523
Norah_Jones,14,Norah_Jones,6,-0.126640295225806,-0.1265413544725313,-0.044171629083105,0.4450624496953079,0.3710861813103896,0.3484574336130319,0.4487370461659675,0.3718240686179915,0.2747837571250424,-0.1003889018611101,0.0390107318232812,-0.0463668019144402
Donald_Rumsfeld,22,Donald_Rumsfeld,34,0.5689828227792194,0.5540120207258626,0.5348552196871952,0.4473970009386122,0.3800364889529681,0.4401203100491728,0.6233944677569065,0.441074314193103,0.4382298236422873,0.4421357929430244,0.3555754971702556,0.3302536271274297
Nathalie_Baye,2,Nathalie_Baye,4,0.5684859277392469,0.3905160784913046,0.3468400173671546,0.3951430476254085,0.1433204145224824,0.1887500353509859,0.3961250543967285,0.1312224358484437,0.2389407870379293,0.3407644452727323,0.1472142125291313,0.0848468287241707
Mario_Cipollini,1,Mario_Cipollini,2,0.2194239332884533,0.476306625395783,0.4833250542943187,0.2737866555004239,0.054143072918687,0.2081360586980004,0.2240342317705512,0.1064567240722034,0.1683087259803093,0.1868309304741534,0.130808178722027,0.051693487535742
Leonid_Kuchma,5,Leonid_Kuchma,2,-0.2194947682223733,0.0401060609122683,0.0212345315813566,0.5911547385678506,0.5060692118627803,0.4348469780482434,0.5331132782599166,0.5933940692610203,0.5481236834562175,-0.1462122373780348,0.0490675409194955,0.0177579024184159
Lesley_McCulloch,1,Lesley_McCulloch,3,0.0687444429355038,0.1310265450287671,0.2721701283553706,0.3732603175416129,0.2578722101722354,0.1215726464385979,0.2955333197068184,0.1373786042091213,0.1418026078938603,0.2357364954714293,0.1283166101066413,0.0942659198853415
Arturo_Gatti,3,Arturo_Gatti,2,0.4335414694717351,0.5810774455102629,0.5683225740019727,0.3046625136246279,0.0628624369695299,0.1479576734403585,0.16649626295356,0.0631359172655805,0.0086720469012746,0.2730938876170123,0.0739930872948546,0.0194318520639274
Eva_Dimas,2,Eva_Dimas,1,0.6711098449975731,0.5925760040405811,0.5343434261338854,0.6160000345167453,0.3212728631694693,0.5214109459000933,0.4991704599031938,0.3228254381462588,0.4489141359757344,0.4826385660288346,0.3466087655817493,0.2787379898146684
