name1,image1,name2,image2,ff_all_arcface,ff_all_magface,ff_all_adaface,ff_gpen_sgpn_magface,ff_gpen_sgpn_adaface,ff_gpen_sgpn_arcface,ff_gpen_gfpgan_magface,ff_gpen_gfpgan_adaface,ff_gpen_gfpgan_arcface,ff_sgpn_gfpgan_magface,ff_sgpn_gfpgan_adaface,ff_sgpn_gfpgan_arcface
Marcelo_Ebrard,3,Marcelo_Ebrard,1,0.4299481176673558,0.434953062238237,0.3947710479782965,0.3918561381345961,0.3726286540048044,0.3801989509369932,0.4902990337547423,0.4257425565922484,0.476598044046118,0.4315086339388655,0.3856722200459753,0.4329645500308582
Carlos_Ruiz,2,Carlos_Ruiz,1,0.2226758402760856,0.0901882544743475,0.1267964959364762,-0.018939544318341,0.0684788057193497,0.1007507435075373,0.1557970463746737,0.1544217006387453,0.3140336332258742,0.1343585694968951,0.1571126131884972,0.2561859071699749
Norah_Jones,14,Norah_Jones,6,0.2669660114259011,0.2684687772002718,0.1956222142320386,0.2246834589143135,0.1213486711164403,0.1836040828208067,0.3706968916432424,0.310343270520609,0.4450842048084202,0.2034102746726321,0.1529782815707104,0.1736350211431039
Donald_Rumsfeld,22,Donald_Rumsfeld,34,0.5033530133274488,0.3854785504312948,0.4050711095436594,0.3883880218271381,0.3861799068275605,0.5316488987218603,0.4154566402564819,0.4390553119573912,0.5355320548320076,0.3608163486785075,0.3883903942564816,0.4435151261469565
Nathalie_Baye,2,Nathalie_Baye,4,0.3744781429471651,0.1397254312269045,0.1634080024896005,0.138334400638216,0.1535094688971137,0.3644963551207966,0.1362861722145244,0.2153033810790676,0.3954913773154865,0.145213666842968,0.1279229527690731,0.3657706973561268
Mario_Cipollini,1,Mario_Cipollini,2,0.2277221778657348,0.1018775863320689,0.1399592871646492,0.1200433436452707,0.1079816763924701,0.2053125974986816,0.0809233216807881,0.1879370326959365,0.2486454355725354,0.1005780250096303,0.1260890038431418,0.229566767605353
Leonid_Kuchma,5,Leonid_Kuchma,2,0.2988374805267705,0.3928382232735527,0.3333589210219568,0.3479789825042162,0.2816434328672263,0.1630420517885539,0.5551138620004641,0.4907871519785627,0.56243224532919,0.2726829354227262,0.2277885126501615,0.1932428783917814
Lesley_McCulloch,1,Lesley_McCulloch,3,0.300843050058108,0.1656108302715861,0.1187258533304514,0.1321664159515627,0.1174571074010862,0.2620496312819887,0.1926024039223059,0.1318530831243803,0.3357701783348019,0.1785538244655913,0.10726071602564,0.3051339994879171
Arturo_Gatti,3,Arturo_Gatti,2,0.2487013798995863,0.066906482616141,0.057119094602438,0.0687487067703573,0.0141903138460911,0.2195187517967736,0.0630030418286202,0.0774645938799918,0.2378313163220622,0.0687810379764987,0.0809281116143981,0.2881813348138073
Eva_Dimas,2,Eva_Dimas,1,0.5345393356576212,0.329495322462455,0.4159584747356505,0.3338024262858403,0.3641564273843931,0.4896749895655391,0.3220529924394207,0.4839307753579346,0.5646397524439292,0.333615467644175,0.3999482163753312,0.5482527123532397
Paul_Pierce,1,Paul_Pierce,2,0.431644079487067,0.2913810888258235,0.2825040693063211,0.262915397438188,0.2717108565893407,0.4270895189826614,0.3403419465690695,0.3380184244740976,0.4405005787168951,0.2741662231167289,0.2390434512020969,0.4277858584986211
Muammar_Gaddafi,2,Muammar_Gaddafi,1,0.1934144950201859,0.0843904280864616,0.0738182310357072,0.0562300782092609,0.0543641676592928,0.1589960203135056,0.1086416496198464,0.1014236721154034,0.1679598983883606,0.0925253796232989,0.0671651113900277,0.2568626251258474
Dan_Wheldon,2,Dan_Wheldon,1,0.4257303779030733,0.3374382803063505,0.3245732097673811,0.3369329310285462,0.2966104592683884,0.3976283964024278,0.3120821521856824,0.3357427719790137,0.4538653913913451,0.3621771707750005,0.3443033315419839,0.4285698112493856
Natasha_McElhone,1,Natasha_McElhone,2,0.0527121812746281,0.0405573314511605,0.0339873494831588,0.047228708294149,0.0046054250985405,-0.0649940970283465,0.0654353465477196,0.053640938754129,0.2037447157748284,0.0088259673103142,0.0448519085142682,0.0177340367796417
Mahathir_Mohamad,8,Mahathir_Mohamad,4,0.272213756318077,0.2472644354430533,0.2908155032788809,0.1980024022044149,0.2348435492775593,0.234070130095803,0.3388262665321569,0.3522157857010382,0.3776712916131641,0.2041730350816414,0.28526142247671,0.2029499407983202
Naomi_Watts,13,Naomi_Watts,1,0.1975620208589676,0.0947823366003627,0.2128382763516572,0.0032849819516123,0.1387012253004821,0.0622621357206222,0.2013280721720109,0.2793610623620595,0.4312685746336938,0.0840393799386243,0.2303164761293922,0.1051599867442805
Farouk_al-Sharaa,1,Farouk_al-Sharaa,2,0.0889867302288617,0.0219551358824687,0.0778442718925292,0.023606580363093,0.0382353200246062,0.1224745312429959,-0.0134689343124314,0.1340615257774298,0.0297277530588888,0.0437126957168467,0.0676209787723529,0.1076652366007176
Maria_Soledad_Alvear_Valenzuela,4,Maria_Soledad_Alvear_Valenzuela,1,0.0472754313692922,0.0340470549529207,0.0785090653074915,0.008936901629848,0.0385657323296195,-0.069161072192686,0.0844081711877267,0.1217101245919704,0.1411970990651278,0.0130278900656472,0.0759994484592445,0.058233005238893
Penelope_Ann_Miller,2,Penelope_Ann_Miller,1,0.2690165168823685,0.0192747317181968,0.2225775175906645,-0.077176290718837,0.1406859460454173,0.1519431420115764,0.1567478229850911,0.3945006268400613,0.5042160063490667,0.0116558646586784,0.1421727362324142,0.1870718884823752
Prince_Harry,2,Prince_Harry,1,0.2299998822561129,0.057101836565027,0.1301253497796992,0.0513118428040131,0.1292738575065393,0.2089940384930039,0.0907968183337525,0.1686760740681097,0.2883659862495991,0.0323978638562129,0.0911669167757018,0.2024414651014656
Lindsay_Davenport,18,Lindsay_Davenport,4,0.4428191914227165,0.334846178312895,0.1909749322391261,0.3494281375324607,0.1483986370697883,0.4149010172789391,0.3356396824127818,0.1913644330881923,0.4668101399113613,0.3222526686659632,0.2364283573832498,0.4517429016889134
