name1,image1,name2,image2,hf_l1_sgpn_gfpgan_l2_gpen_arcface,hf_l1_sgpn_gfpgan_l2_gpen_magface,hf_l1_sgpn_gfpgan_l2_gpen_adaface,hf_l1_gpen_gfpgan_l2_sgpn_magface,hf_l1_gpen_gfpgan_l2_sgpn_adaface,hf_l1_gpen_gfpgan_l2_sgpn_arcface,hf_l1_gpen_sgpn_l2_gfpgan_magface,hf_l1_gpen_sgpn_l2_gfpgan_adaface,hf_l1_gpen_sgpn_l2_gfpgan_arcface,hf_l1_all_l2_gfpgan_magface,hf_l1_all_l2_gfpgan_adaface,hf_l1_all_l2_gfpgan_arcface
Marcelo_Ebrard,3,Marcelo_Ebrard,1,2.1579078218905496,8.935404399764323,9.499245534407724,11.379992784043145,8.56900337727555,5.059755649375879,11.481071516677495,9.38329874179682,4.649059878869197,8.955609744715462,9.410801644570988,4.668171624859626
Carlos_Ruiz,2,Carlos_Ruiz,1,0.5869560379111007,0.3804970103113549,1.9751680006004235,0.169238485694704,1.2965858545565316,1.8628584246730968,0.171593630502282,1.7675276606951091,1.475645280541812,0.5303313597764507,1.851599314743348,1.6391549873893436
Norah_Jones,14,Norah_Jones,6,0.744115156890667,4.143981847526908,2.890094106042501,5.108146720421321,2.374840536866161,2.3045310819307927,6.105114043465858,3.9527660477670055,2.315779052528969,4.78758903097556,4.014735872426005,2.2727557175461635
Donald_Rumsfeld,22,Donald_Rumsfeld,34,2.576425566026928,7.569407232477502,9.692164190674932,10.02706301205389,8.78707895689527,6.434603830223158,9.700252837815247,9.600230695188156,5.313393739667939,7.516648468021879,9.665316411488275,5.398145263300645
Nathalie_Baye,2,Nathalie_Baye,4,1.7270423229463137,1.507899549714261,2.0796618866019645,1.9909645494210289,2.353654477223013,4.154381545598977,1.8879083438605424,2.587618934074212,3.5175321537982254,1.3971823108846817,2.5609706887182204,3.560323938274521
Mario_Cipollini,1,Mario_Cipollini,2,0.6497699614289614,0.5038815669656422,1.7015333150276146,0.716748514972275,1.5306615844832536,1.4980024927906683,0.5686910004889212,2.0386631997206464,1.3085207203963938,0.3609457209509799,2.047412595960405,1.3050530113794832
Leonid_Kuchma,5,Leonid_Kuchma,2,1.0075027289650218,6.868816782340479,6.089553239447314,8.780896559806978,6.022417082178343,3.486834049770428,10.14724079118346,7.742081530448901,3.157414244363505,7.911514316019604,7.835486500479365,3.0770311130561727
Lesley_McCulloch,1,Lesley_McCulloch,3,1.2038791220383342,2.179215374419876,1.094528953074949,2.8308593036845977,1.1167367992121866,2.8377328205878323,2.947924787660596,1.1621334891786126,2.4875251840492107,2.201184245160763,1.164296524530704,2.5311926520564314
Arturo_Gatti,3,Arturo_Gatti,2,0.8742422622155426,-0.3749307446789163,-0.2047139484767539,-0.3560610345976314,-0.6219005695667019,1.8460408806011417,-0.437887078807877,-0.2941482838733424,1.645310966832684,-0.434426578842946,-0.2835429602143193,1.6629811555058498
Eva_Dimas,2,Eva_Dimas,1,2.9386273477136973,6.300411146465255,10.038587730930468,8.117226686124875,8.9173108392393,7.016798234206251,7.921082649088592,10.19801523133362,6.128438660984671,6.114008655219404,10.266321639506645,6.252504585499221
Paul_Pierce,1,Paul_Pierce,2,2.155146165213141,5.20257756806898,5.536063354653203,6.653109986611096,5.403979495136996,5.121455580856133,6.748971066809207,6.023168562472003,4.374023654805679,5.2891123938112905,6.034990151143922,4.435424947255578
Muammar_Gaddafi,2,Muammar_Gaddafi,1,0.5398124776499285,0.1061026263850308,-0.1877555827572297,0.1731983652235738,-0.1877034703416986,0.8322540872065662,0.2534319992876082,0.01258273621518,0.8871469535237564,0.1349594099711697,0.0095129578345045,0.8430596783681783
Dan_Wheldon,2,Dan_Wheldon,1,2.1250907295697203,6.626548025435861,7.8552398775844114,8.35398527319069,6.833472050318912,5.098956305245276,8.18055765273871,7.512263248617934,4.421016155811289,6.331097015828476,7.451083666755694,4.470252007723833
Natasha_McElhone,1,Natasha_McElhone,2,-0.711515182917197,-1.2887341355836748,-1.1063116633764618,-1.3726216987165794,-1.284768075995037,-1.4723826777620026,-1.2595983553056256,-1.0582584453197106,-1.0033844681658637,-1.1071715070494528,-1.067478087264687,-1.0029660821582953
Mahathir_Mohamad,8,Mahathir_Mohamad,4,0.8228575019106512,3.831829191034821,6.410286914540087,4.7442271602369965,5.525869543481897,2.302954460740696,5.432532250453592,6.53441362516174,2.1115156170752907,4.278511116399354,6.627326320242337,2.102012122479683
Naomi_Watts,13,Naomi_Watts,1,0.233750533742874,0.2583779088033782,4.442092471318457,-0.1915288544166209,3.509457029411757,1.3032358524497605,0.5736559431219153,4.902449383788413,1.5619863178504656,0.6243114673994983,4.666932717552681,1.4646150812410412
Farouk_al-Sharaa,1,Farouk_al-Sharaa,2,-0.3636925660424907,-1.4846479941281636,-0.1274489150713726,-2.0602743230007268,-0.1208473648950103,-1.2141840551163583,-1.8919304222587263,0.5061224243939044,-1.1842023143252467,-1.5602190997084433,0.3687507676027151,-1.197904727829922
Maria_Soledad_Alvear_Valenzuela,4,Maria_Soledad_Alvear_Valenzuela,1,-0.6768206830769246,-1.3121378544675344,0.0181334960782764,-1.5520546561283293,-0.2318013733810842,-1.7567664306516009,-1.4440285746430397,0.3202287188240889,-1.258067242999458,-1.1496092390265522,0.3214442912449482,-1.1572688069545531
Penelope_Ann_Miller,2,Penelope_Ann_Miller,1,0.8255095254432092,-1.5726251668243254,3.035371283716706,-1.425280993858524,3.275669534978382,3.090178673500648,-1.6362350305689963,5.297840749276679,2.8563946185163105,-1.2100470498732236,5.033415206180286,2.605882191811393
Prince_Harry,2,Prince_Harry,1,0.6303312027832444,-0.7938490134474141,0.9587660069812752,-0.7167198281411067,1.2343668970953576,1.7587376225700249,-0.709912500785896,1.4905130787430871,1.3823591693609614,-0.6445035417312224,1.493776723148525,1.3510575118543549
Lindsay_Davenport,18,Lindsay_Davenport,4,2.288725212141042,6.370534334046496,4.242659635864479,8.333182491835556,3.1846849509645896,5.352308638941053,8.004165941920604,3.703400573213748,4.7477855800607855,6.195135091457104,3.6587820504334863,4.76316315687108
Johnny_Unitas,1,Johnny_Unitas,2,1.9329758809704067,5.291873008697342,7.301859871569734,6.605489164874351,6.147068523751127,4.570510580063679,6.3832020488392205,6.248223057378793,3.88850111277408,4.929557127700921,6.257160565214742,3.940408314068818
Vanessa_Williams,3,Vanessa_Williams,1,2.1048162393890983,3.308696726421061,7.409953864209923,4.091312894530937,6.879258009747398,5.339390748606947,4.34555909655433,7.244306897973933,4.530618914700911,3.48549634601807,7.255128899307059,4.596802835130507
Lauren_Killian,2,Lauren_Killian,1,2.3365530919179376,5.400701547096968,5.9849480411669305,6.575362974960189,5.445269886747613,6.00018065104356,7.216445406288648,6.718956798812547,5.290451754749238,5.726276089954684,6.676394093600522,5.362636384213369
Olesya_Bonabarenko,1,Olesya_Bonabarenko,2,2.909667339364221,6.633072869736129,8.25530508148139,7.567358401829242,6.97792595771565,6.526980317450703,7.366620145594232,7.149587418117486,5.628740380339718,5.989342513582315,7.166487617595966,5.706675251317737
Jean_Brumley,2,Jean_Brumley,1,0.1725148858185243,0.8174176740058741,3.1309088538700807,0.2626238341672167,2.3765762473250254,0.4602926683844255,0.8612574351531856,3.0364765817047163,0.580446447730353,0.7818825558063902,3.030636288203003,0.5580741301353926
Jeffrey_Immelt,2,Jeffrey_Immelt,1,2.3489011445633783,7.71607876909146,8.663011087218235,9.74127543138612,8.234172033447498,5.51201165949245,9.17998265950321,8.066318343840015,4.664936012413975,7.210510328265203,7.997457237027778,4.715490595647017
Hun_Sen,2,Hun_Sen,1,0.7212468176792977,0.8751948055088863,1.5975196302260295,0.9614909221578394,1.209109993137314,1.2378929866430886,0.8193581255433728,1.3970158404689434,1.0963132038144452,0.5850321549084367,1.3473346518253075,1.1005806694606908
Matt_Doherty,2,Matt_Doherty,1,0.1069832554249718,1.625396092606246,0.7808095078159507,2.3605680977859507,0.9061865052073816,0.2858826823321787,2.3369581319551687,1.0507282016397186,0.4551094624672789,1.7422789408827852,1.054466080138424,0.4211857210986172
Michael_Jordan,1,Michael_Jordan,4,-0.6583580464645946,-0.6790734074074098,-0.4253620780521343,-0.545403592912252,-0.0556550421751711,-1.061429111557758,-0.4418222316355522,0.4647470706080048,-0.7007347500340855,-0.3958251888047304,0.434249723546273,-0.8573465355869052
Steve_Lavin,6,Steve_Lavin,3,1.1203550262869406,0.2639662079238043,1.918034700460516,0.6750484377773582,1.7139861264394498,3.062820393709348,0.5748003493818432,1.8243384384537296,2.587148629402793,0.2879354729913994,1.7950230869796415,2.610597609921246
JK_Rowling,6,JK_Rowling,1,1.100735821917747,-2.2028019738697067,-0.7291092986710404,-2.702819151506069,-0.5274639044306171,2.342687873647953,-2.877839063282645,-0.8782824674239245,1.9604522393545007,-2.3513408312628563,-0.8443863892609331,1.98143235950659
Joseph_Ralston,1,Joseph_Ralston,2,2.120476249684114,4.235163260677863,8.56448350745156,5.860883053216657,8.284757705552638,5.075870372718367,5.610950727862263,9.913460399132852,4.676481476038024,4.193357705958123,9.847084373382238,4.704585211125551
Ricky_Barnes,2,Ricky_Barnes,1,-0.1412228037127334,-1.4773460548112922,-0.154018657613189,-1.801609053933643,-1.0055007344475144,-0.6105720152712639,-1.9504706954102875,-1.2729456172095102,-0.3873326661442231,-1.625609608719275,-1.3154167963368897,-0.456149257028132
Faye_Dunaway,2,Faye_Dunaway,3,1.324551844535169,3.237077354140436,5.517011790859247,3.934137299296912,5.08013299677806,4.3957190686455725,4.616971225592876,6.965044446516931,3.887346631182426,3.573971688240974,6.808557551789208,3.789823554751048
Derek_Jeter,4,Derek_Jeter,2,-0.2066720088744265,0.3054018374461384,2.966841220611128,0.7704582954014549,2.01208776621613,-0.3181457419448144,0.6882052820505686,3.3185727291213563,-0.0979087501495095,0.4085042509500223,3.370129157651939,-0.087429547056745
Joschka_Fischer,12,Joschka_Fischer,4,1.7978083405547465,6.163692629531836,7.416200521774279,8.287629469144543,6.683141958476945,4.494093781906124,7.847963886591292,7.5553843545843264,3.743943848504488,6.117231404830733,7.568929668558929,3.787102343059733
Aaron_Sorkin,1,Aaron_Sorkin,2,1.1167830148197453,1.594115085495187,4.438378228214686,1.6285979381546485,3.1508164043777818,2.346635926117595,1.632175299527737,3.549991601817698,1.9564196022367208,1.2114050502253146,3.447892830925576,1.996052366863733
