name1,image1,name2,image2,arcface,magface,adaface,arcface_gfpgan,magface_gfpgan,adaface_gfpgan,arcface_gpen,magface_gpen,adaface_gpen
Abel_Pacheco,1,Abel_Pacheco,4,0.6260889638662841,0.6681688708823148,0.6476366397810244,0.7176734239477109,0.6552263224908264,0.7125009183831987,0.6543845752296024,0.5890092656304563,0.612087149283345
Akhmed_Zakayev,1,Akhmed_Zakayev,3,0.9050902418230068,0.8352724968080827,0.8411411540745595,0.878382092467948,0.8375424872780359,0.824417649230197,0.8910326793467994,0.8410261934959635,0.8052205507675513
Akhmed_Zakayev,2,Akhmed_Zakayev,3,0.8557746010103927,0.7636139542572896,0.7424517343368083,0.8321260832991857,0.7704067017699351,0.7147329740792825,0.8082970081732451,0.7940215085317673,0.7259553826181862
Amber_Tamblyn,1,Amber_Tamblyn,2,0.7967966833685171,0.7120769223988989,0.7415649973521001,0.559833740599371,0.506023092733857,0.6060052430285572,0.6940224518772088,0.4712598403835857,0.6605944664978448
Anders_Fogh_Rasmussen,1,Anders_Fogh_Rasmussen,3,0.7314375425151978,0.7224146724224892,0.7020020409621549,0.6706961110408048,0.6470011961626094,0.721892946582691,0.6464419930422856,0.6572745108931815,0.6543305718650961
Anders_Fogh_Rasmussen,1,Anders_Fogh_Rasmussen,4,0.7393864420063453,0.6658065282507131,0.6247869412255287,0.6494003949427228,0.6311291611340557,0.60177967975538,0.6474297648391191,0.6583246221999166,0.5977878755345082
Angela_Bassett,1,Angela_Bassett,5,0.8242551359554946,0.7189905788794749,0.670822198444184,0.7906988183193966,0.7796108656471232,0.6923867078092254,0.7627970314810433,0.7206371551679001,0.6458072373847147
Angela_Bassett,2,Angela_Bassett,5,0.7333217428177969,0.6070367181128192,0.5404892047952284,0.7079370485472074,0.5795779542883617,0.5733091177840102,0.632684942844675,0.5818247798673707,0.5350714673684818
Angela_Bassett,3,Angela_Bassett,4,0.6486954907245757,0.6406835069548007,0.556388905863725,-0.0263595682573496,-0.0726321761488891,-0.0398308567016182,-0.2121480669064171,-0.0159360110902168,0.036849964572452
Ann_Veneman,3,Ann_Veneman,5,0.8773072403276393,0.8200306992004532,0.7903042948091421,0.7905484790805936,0.6762675458889512,0.7526835897449466,0.8574601721538995,0.7639156982333848,0.7751797209890944
Ann_Veneman,6,Ann_Veneman,10,0.7495293179553866,0.7751634517467414,0.682292702744452,0.7028631281139582,0.6148684786928919,0.643101626493535,0.6791002102745138,0.5604177375649522,0.5992441233288092
Ann_Veneman,10,Ann_Veneman,11,0.6734735438504668,0.5607970467711856,0.4779497291331007,0.5945177447123614,0.4488301514116222,0.503194920180818,0.6605931584094114,0.4670888509518028,0.4454118706149857
Anthony_Fauci,1,Anthony_Fauci,2,0.848570068006478,0.8071820823821779,0.7635755952835024,0.8414545454296981,0.7854001105443602,0.751282790493872,0.8232589821800061,0.7342358949694682,0.6975238025757919
Antony_Leung,1,Antony_Leung,2,0.6955101270197663,0.7258426746596459,0.6870362338853431,0.80793864389183,0.6957356881631227,0.6510714713122785,0.6803728953099615,0.7039987328372258,0.7058503972947993
Antony_Leung,2,Antony_Leung,3,0.7517888546060537,0.6980482692211696,0.6577468811959946,0.7626493612149922,0.6282311929494926,0.653199873638718,0.7169435767136421,0.6400816086518211,0.6980712241981545
Anwar_Ibrahim,1,Anwar_Ibrahim,2,0.7145737698521148,0.5922147754882953,0.6124970115228396,0.6862477492928989,0.5590525530818458,0.6123765182508468,0.6402318148685898,0.5532802846367156,0.571097944421365
Augusto_Pinochet,1,Augusto_Pinochet,2,0.906646941658822,0.8378516586611278,0.8380823430170956,0.906095343466797,0.8617178903419841,0.8258538230333036,0.9294876277393948,0.8536485037915114,0.8309604228933147
Barbara_Brezigar,1,Barbara_Brezigar,2,0.7444540106628952,0.6550903488357023,0.5867773818819092,0.6929475371789766,0.5885261784620732,0.5351963692429015,0.7162371941814841,0.5569653793379749,0.5749158600942488
